stname,tractfips,2000 Tract,2010 Tract,MUNICIPALITY,Municipality,City Neighborhood,2006-2010 estimate of obesity
Pennsylvania,42003431400,431400,,BELLEVUE ,Bellevue ,,0.265042796
Pennsylvania,42003431500,431500,,BELLEVUE ,Bellevue ,,0.268247858
Pennsylvania,42003432300,432300,,AVALON ,Avalon ,,0.282805184
Pennsylvania,42003432400,432400,,AVALON ,Avalon ,,0.282743448
Pennsylvania,42003434000,434000,,BEN AVON ,Ben Avon ,,0.201778543
Pennsylvania,42003435000,435000,,EMSWORTH ,Emsworth ,,0.252509848
Pennsylvania,42003437000,437000,,OHIO  ,Ohio  ,,0.210425186
Pennsylvania,42003439000,439000,,BELL ACRES ,Bell Acres ,,0.25172106
Pennsylvania,42003445500,445500,,SEWICKLEY ,Sewickley ,,0.236936226
Pennsylvania,42003446000,446000,,EDGEWORTH ,Edgeworth ,,0.150777567
Pennsylvania,42003447000,447000,,LEET  ,Leet  ,,0.254156656
Pennsylvania,42003448000,448000,,LEETSDALE ,Leetsdale ,,0.287161824
Pennsylvania,42003449000,449000,,CRESCENT  ,Crescent  ,,0.288332458
Pennsylvania,42003450700,450700,,CORAOPOLIS ,Coraopolis ,,0.281856356
Pennsylvania,42003450800,450800,,CORAOPOLIS ,Coraopolis ,,0.319853211
Pennsylvania,42003451102,451101,,MOON  ,Moon  ,,0.224635265
Pennsylvania,42003451102,451102,,MOON  ,Moon  ,,0.258520745
Pennsylvania,42003451103,451103,451104 & 451105,MOON  ,Moon  ,,0.240861593
Pennsylvania,42003452000,451300,,MOON  ,Moon  ,,0.224289129
Pennsylvania,42003453001,453001,453003 & 463004,NORTH FAYETTE  ,North Fayette  ,,0.205551495
Pennsylvania,42003453003,452000,,FINDLAY  ,Findlay  ,,0.277575149
Pennsylvania,42003455000,455000,,OAKDALE ,Oakdale ,,0.297605976
Pennsylvania,42003456001,456001,,SOUTH FAYETTE  ,South Fayette  ,,0.24822681
Pennsylvania,42003456003,456003,,SOUTH FAYETTE  ,South Fayette  ,,0.248328663
Pennsylvania,42003456004,456004,,SOUTH FAYETTE  ,South Fayette  ,,0.238048934
Pennsylvania,42003457100,457100,,BRIDGEVILLE ,Bridgeville ,,0.288572503
Pennsylvania,42003457200,457200,,BRIDGEVILLE ,Bridgeville ,,0.278822113
Pennsylvania,42003458000,458000,,COLLIER  ,Collier  ,,0.281623751
Pennsylvania,42003459101,459101,,ROBINSON  ,Robinson  ,,0.280461054
Pennsylvania,42003459102,459102,,ROBINSON  ,Robinson  ,,0.245685092
Pennsylvania,42003459201,459201,,ROBINSON  ,Robinson  ,,0.235759791
Pennsylvania,42003459202,459202,,PENNSBURY VILLAGE ,Pennsbury Village ,,0.173870245
